Item,Features,,,,,,,,,,,Target,Score
6378,Erstattungen von privaten Unternehmen,http://data.openbudgets.eu/codelist/currency/EUR,Approved,Revenue,http://dbpedia.org/resource/Bonn,Finanzbuchhaltung,Finanzbuchhaltung,Kassen- und Steueramt,Anlagenbuchhaltung,2022,Kassen- und Steueramt,6.96,193620.701854
6374,Erstattungen von privaten Unternehmen,http://data.openbudgets.eu/codelist/currency/EUR,Approved,Revenue,http://dbpedia.org/resource/Bonn,Finanzbuchhaltung,Finanzbuchhaltung,Kassen- und Steueramt,Vorbuch Kreditoren,2022,Kassen- und Steueramt,6.0,185273.92536
6376,Erstattungen von privaten Unternehmen,http://data.openbudgets.eu/codelist/currency/EUR,Approved,Revenue,http://dbpedia.org/resource/Bonn,Finanzbuchhaltung,Finanzbuchhaltung,Kassen- und Steueramt,Vollstreckung in Ah,2022,Kassen- und Steueramt,4.32,173589.507801
2965,Aufl. SoPo aus Zuweisungen Land,http://data.openbudgets.eu/codelist/currency/EUR,Approved,Revenue,http://dbpedia.org/resource/Bonn,Bezirksverwaltungsstelle Bad Godesberg,BezVSt Bad Godesberg,Verwaltung übergreifend,BKST Bezirksverwaltungsst. Bad Godesberg,2022,Bezirksverwaltungsstelle Bad Godesberg,-2000.0,154840.275785
2968,Aufl. SoPo aus Zuweisungen Land,http://data.openbudgets.eu/codelist/currency/EUR,Approved,Revenue,http://dbpedia.org/resource/Bonn,Bezirksverwaltungsstelle Bonn,BezVSt Bonn,Verwaltung übergreifend,BKST Bezirksverwaltungsstelle Bonn,2022,Bezirksverwaltungsstelle Bonn,-2000.0,152347.460217
6386,Erstattungen von privaten Unternehmen,http://data.openbudgets.eu/codelist/currency/EUR,Approved,Revenue,http://dbpedia.org/resource/Bonn,Zentrale Vergabedienstleistungen,Zentr.Vergabedienstl,Zentrales Vergabeamt,Sammler Freistellungen,2022,Referat Vergabedienste,-14.88,147922.220195
2970,Aufl. SoPo aus Zuweisungen Land,http://data.openbudgets.eu/codelist/currency/EUR,Approved,Revenue,http://dbpedia.org/resource/Bonn,IT-Betrieb,IT-Betrieb,Verwaltung übergreifend,BKST IT-Betrieb,2022,IT-Betrieb,-3800.0,116009.722451
8435,Vergütungen der tariflich Beschäftigten,http://data.openbudgets.eu/codelist/currency/EUR,Approved,Expenditure,http://dbpedia.org/resource/Bonn,PB01 Innere Verwaltung,Amt 21 TE-übergr.,Kassen- und Steueramt,Amtsleiterin 21,2022,Kassen- und Steueramt,900.174,115536.563494
7062,Fürsorge- Unterst.leist f. Beschäftigte,http://data.openbudgets.eu/codelist/currency/EUR,Approved,Expenditure,http://dbpedia.org/resource/Bonn,Finanzbuchhaltung,Finanzbuchhaltung,Kassen- und Steueramt,Anlagenbuchhaltung,2022,Kassen- und Steueramt,-39.24,114265.189872
7058,Fürsorge- Unterst.leist f. Beschäftigte,http://data.openbudgets.eu/codelist/currency/EUR,Approved,Expenditure,http://dbpedia.org/resource/Bonn,Finanzbuchhaltung,Finanzbuchhaltung,Kassen- und Steueramt,Vorbuch Kreditoren,2022,Kassen- und Steueramt,-34.2,110555.057056
7060,Fürsorge- Unterst.leist f. Beschäftigte,http://data.openbudgets.eu/codelist/currency/EUR,Approved,Expenditure,http://dbpedia.org/resource/Bonn,Finanzbuchhaltung,Finanzbuchhaltung,Kassen- und Steueramt,Vollstreckung in Ah,2022,Kassen- und Steueramt,-24.48,103568.728779
8508,Beitr. Z. gesetzl.SV f. tarifl. Beschäf.,http://data.openbudgets.eu/codelist/currency/EUR,Approved,Expenditure,http://dbpedia.org/resource/Bonn,PB01 Innere Verwaltung,Amt 21 TE-übergr.,Kassen- und Steueramt,Amtsleiterin 21,2022,Kassen- und Steueramt,283.8,97847.1402224
